sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
EU777645.1.1268	1	0.190195	GCF_001404655.1
EU777672.1.1225	1	0.147582	GCF_024499055.1
EU777698.1.1381	6	0.099705	GCF_000013285.1
EU777739.1.1225	1	0.147582	GCF_024499055.1
EU777745.1.1359	1	0.108835	GCA_025148965.1
EU777757.1.1422	1	0.06364	GCF_001434695.1
EU777788.1.1403	1	0.048947	GCF_004211955.1
EU777791.1.1212	9	0.064383	GCF_024499055.1
EU777806.1.1322	6	0.031189	GCF_000744255.1
EU777812.1.1396	1	0.035973	GCF_007858365.1
EU777879.1.1294	1	0.110202	GCA_944376295.1
EU777894.1.1261	1	0.087422	GCA_002841545.1
EU777895.1.1394	1	0.243098	GCF_001466305.1
EU777971.1.1204	3	0.103309	GCA_017569285.1
EU777999.1.1356	1	0.060155	GCF_000146185.1
EU778014.1.1279	1	0.111881	GCF_000765235.1
EU778018.1.1258	1	0.083574	GCF_024433635.1
EU778034.1.1291	1	0.039384	GCA_916988195.3
EU778044.1.1385	1	0.124319	GCF_003478035.1
EU778070.1.1402	1	0.111045	GCF_004535825.1
EU778073.1.1322	2	0.112335	GCA_900770635.1
EU778074.1.1388	1	0.245059	GCA_002840285.1
EU778120.1.1388	1	0.177045	GCF_000210095.1
EU778138.1.1395	1	0.10994	GCA_916988195.3
EU778144.1.1341	2	0.063929	GCF_002834225.1
EU778164.1.1338	1	0.052101	GCF_000173975.1
EU778168.1.1339	1	0.13102	GCA_025148125.1
EU778170.1.1283	5	0.049712	GCA_018223375.1
EU778182.1.1364	6	0.033757	GCF_015074785.1
EU778211.1.1382	1	0.107121	GCA_000285855.2
EU778223.1.1390	5	0.106675	GCF_900537995.1
EU778225.1.1399	4	0.163978	GCF_014337215.1
EU778235.1.1391	1	0.192514	GCF_009696065.1
EU778237.1.1273	1	0.050577	GCF_008121495.1
EU778240.1.1371	1	0.029789	GCF_023347295.1
EU778248.1.1341	1	0.169262	GCA_902362455.1
EU778253.1.1380	1	0.11516	GCA_020859985.1
EU778256.1.1404	6	0.108662	GCF_015074785.1
EU778264.1.1404	6	0.106801	GCA_025151535.1
EU778269.1.1396	2	0.081709	GCF_006542685.1
EU778271.1.1403	1	0.107721	GCF_018918025.1
EU778274.1.1392	1	0.120924	GCF_015557635.1
EU778295.1.1326	1	0.127551	GCF_002161065.1
EU778308.1.1403	1	0.146521	GCF_024460475.1
EU778329.1.1334	6	0.109042	GCA_025150085.1
EU778330.1.1397	7	0.106141	GCF_000012825.1
EU778338.1.1387	1	0.152028	GCF_000364225.2
EU778348.1.1322	1	0.264492	GCA_023458035.1
EU778354.1.1387	1	0.027022	GCF_021531255.1
EU778362.1.1345	5	0.121152	GCF_001314995.1
EU778419.1.1388	1	0.042474	GCF_004211955.1
EU778438.1.1420	1	0.054556	GCF_015751045.1
EU778456.1.1401	7	0.055574	GCA_021307345.1
EU778496.1.1401	1	0.069015	GCF_004211955.1
EU778509.1.1401	1	0.10983	GCA_004017275.1
EU778512.1.1403	1	0.062139	GCF_014836715.1
EU778517.1.1380	3	0.114117	GCF_018918185.1
EU778522.1.1384	1	0.116323	GCF_009695765.1
EU778539.1.1385	3	0.1415	GCA_900199405.1
EU778552.1.1402	1	0.065396	GCF_900115635.1
EU778567.1.1398	4	0.077071	GCF_016117655.1
EU778578.1.1373	1	0.10994	GCA_916988195.3
EU778592.1.1390	1	0.108742	GCA_003478355.1
EU778593.1.1400	7	0.107478	GCF_013009555.1
EU778598.1.1397	1	0.108422	GCF_000614125.1
EU778608.1.1400	1	0.132082	GCF_002251385.1
EU778613.1.1289	1	0.115813	GCA_020540725.1
EU778614.1.1403	2	0.128673	GCA_025145645.1
EU778616.1.1298	1	0.12205	GCA_000403335.2
EU778622.1.1397	1	0.121188	GCF_013166575.1
EU778625.1.1365	1	0.115799	GCF_002159645.1
EU778632.1.1397	1	0.10641	GCA_025147485.1
EU778637.1.1304	6	0.107015	GCF_019127135.1
EU778663.1.1260	3	0.312904	GCA_900199405.1
EU778689.1.1332	1	0.294561	GCF_000210095.1
EU778719.1.1272	1	0.11516	GCA_020859985.1
EU778729.1.1392	3	0.127043	GCA_900769075.1
EU778742.1.1266	1	0.142997	GCA_001512765.1
EU778812.1.1386	1	0.115324	GCF_009936045.1
EU778819.1.1262	1	0.057615	GCF_016901605.1
EU778820.1.1349	1	0.169347	GCF_003477995.1
EU778828.1.1398	2	0.110248	GCF_900155425.1
EU778833.1.1395	1	0.156096	GCA_020555735.1
EU778848.1.1375	1	0.206318	GCF_014982745.1
EU778856.1.1365	1	0.044337	GCF_015074785.1
EU778858.1.1261	5	0.06392	GCF_018918345.1
EU778860.1.1374	1	0.147827	GCF_004535825.1
EU778863.1.1253	2	0.07576	GCF_002834235.1
EU778871.1.1375	1	0.068828	GCF_013304385.1
EU778872.1.1287	1	0.145575	GCA_003669055.1
EU778886.1.1279	1	0.144014	GCA_023459495.1
EU778893.1.1359	1	0.074053	GCF_018784445.1
EU778897.1.1261	1	0.102875	GCF_018784445.1
EU778898.1.1349	1	0.198541	GCA_910575445.1
EU778902.1.1270	5	0.085556	GCF_900461125.1
EU778903.1.1268	1	0.083359	GCF_016901955.1
EU778904.1.1389	1	0.071803	GCF_013304385.1
EU778905.1.1289	1	0.112034	GCA_021770005.1
EU778916.1.1376	1	0.040119	GCF_000172175.1
EU778919.1.1394	2	0.113831	GCF_002834225.1
EU778920.1.1402	1	0.128374	GCF_900106785.1
EU778928.1.1310	7	0.27519	GCF_000012825.1
EU778934.1.1251	1	0.113063	GCF_003460605.1
EU778941.1.1389	1	0.146216	GCA_003481005.1
EU778942.1.1391	1	0.172809	GCF_014131695.1
EU778949.1.1401	3	0.116996	GCF_018228705.1
EU778964.1.1407	1	0.313552	GCF_000372425.1
EU778973.1.1417	4	0.099539	GCF_010669225.1
EU778974.1.1385	1	0.061057	GCF_014982805.1
EU778982.1.1399	1	0.111203	GCF_900108345.1
EU778988.1.1396	6	0.110197	GCF_010669225.1
EU779005.1.1371	1	0.119282	GCF_014384905.1
EU779008.1.1387	1	0.194805	GCA_000513555.1
EU779013.1.1407	4	0.282385	GCF_010669225.1
EU779035.1.1415	4	0.187769	GCF_010669225.1
EU779041.1.1251	1	0.135187	GCA_003481005.1
EU779046.1.1402	1	0.084804	GCF_014982855.1
EU779051.1.1400	1	0.093838	GCF_018408705.1
EU779052.1.1312	1	0.113829	GCF_002000985.1
EU779054.1.1366	1	0.115855	GCF_002899695.1
EU779071.1.1414	4	0.125272	GCF_010669225.1
EU779075.1.1401	1	0.111203	GCF_900108345.1
EU779078.1.1293	1	0.039612	GCA_025152575.1
EU779139.1.1248	1	0.117945	GCA_900315985.1
EU779165.1.1348	3	0.112445	GCA_900199405.1
EU779175.1.1386	1	0.098422	GCA_020558355.1
EU779192.1.1352	5	0.106675	GCF_900537995.1
EU779193.1.1371	1	0.10994	GCA_916988195.3
EU779257.1.1241	5	0.13611	GCF_002735305.1
EU779259.1.1349	1	0.115705	GCA_900542245.1
EU779301.1.1404	1	0.10994	GCA_916988195.3
EU779320.1.1391	1	0.080674	GCF_014384805.1
EU779323.1.1406	1	0.136602	GCA_900315985.1
EU779462.1.1379	1	0.281405	GCF_014384785.1
EU779463.1.1390	1	0.245618	GCA_900315985.1
EU779474.1.1406	2	0.152923	GCF_900475675.1
EU790142.1.1228	1	0.071253	GCF_000801955.1
EU790158.1.1203	1	0.026327	GCF_021173085.1
EU790196.1.1206	1	0.131249	GCF_914271435.1
EU790226.1.1203	1	0.041095	GCF_002205845.1
EU790471.1.1202	1	0.070765	GCF_000620465.1
EU790986.1.1506	1	0.115057	GCA_910575615.1
EU794119.1.1454	1	0.177649	GCF_003363435.1
EU794153.1.1459	1	0.123907	GCA_014385105.1
EU794178.1.1450	3	0.11932	GCF_900128495.1
EU799672.1.1238	2	0.124493	GCF_020162115.1
EU801557.1.1271	1	0.127726	GCF_002778315.1
EU808442.1.1293	1	0.012956	GCF_001043895.1
EU826403.1.1339	2	0.124832	GCF_000296445.1
EU828409.1.1423	3	0.237029	GCF_014467055.1
EU843173.1.1540	1	0.07042	GCA_900751685.1
EU843250.1.1446	3	0.167357	GCA_900199405.1
EU843349.1.1425	3	0.126942	GCA_017569285.1
EU843661.1.1236	1	0.021602	GCA_000513555.1
EU844171.1.1489	1	0.11857	GCA_002841545.1
EU844260.1.1419	1	0.240268	GCA_900751685.1
EU844398.1.1255	1	0.054879	GCA_002841545.1
EU844416.1.1343	1	0.059994	GCA_001512765.1
EU844543.1.1490	1	0.046749	GCA_916988195.3
EU844544.1.1547	1	0.028528	GCA_934096295.1
EU844902.1.1471	1	0.028	GCF_014384805.1
EU845249.1.1218	1	0.086697	GCA_002841545.1
EU845481.1.1289	1	0.164421	GCA_900751685.1
EU850576.1.1430	1	0.112043	GCA_944390795.1
EU864467.1.1485	1	0.225161	GCF_014384765.1
EU868814.1.1450	1	0.00908	GCF_001584615.1
EU871388.1.1502	1	0.110469	GCA_934167465.1
EU878313.1.1507	1	0.015193	GCF_009695875.1
EU883765.1.910	1	0.109489	GCA_003017855.1
EU887971.1.1372	1	0.066837	GCF_900197595.1
EU909652.1.1362	1	0.107047	GCF_003493605.1
EU909656.1.1362	6	0.107548	GCF_900475755.1
EU919515.1.1268	5	0.108444	GCF_007990635.1
EU919864.1.1408	1	0.024935	GCF_003475325.1
EU928746.1.1484	1	0.006491	GCF_000300875.1
EU928984.1.1238	5	0.026297	GCF_020131355.1
EU931404.1.1403	1	0.108072	GCF_001808555.1
EU931440.1.1396	1	0.075444	GCF_000411135.1
EU939405.1.1474	3	0.156261	GCF_000020225.1
EU939413.1.1549	1	0.220844	GCA_900751685.1
EU939428.1.1511	4	0.22884	GCF_010669225.1
EU939444.1.1506	1	0.088675	GCF_003478505.1
EU978819.1.1276	1	0.025464	GCF_011682045.1
EU999240.1.1259	1	0.032142	GCF_024746815.1
FAGH01000127.1.1295	12	0.008085	GCF_021561035.1
FAUJ01000006.3367.4875	1	0.017588	GCF_001486165.1
FAUL01000012.89600.91090	3	0.020471	GCA_001486445.1
FAVI01000008.1703276.1704567	1	0.052071	GCF_001487165.1
FAVJ01000004.312430.313940	1	0.026416	GCF_001487105.1
FAVK01000008.42.1545	1	0.11326	GCA_001487125.1
FBXW01000008.267.1775	1	0.030197	GCF_014281125.1
FBXY01000008.115495.116986	1	0.025889	GCF_002160955.1
FBYB01000006.1397107.1398611	5	0.108676	GCA_025148635.1
FCEX01000012.769211.770715	1	0.009138	GCF_001517665.2
FCNA01000117.1.1283	1	0.024378	GCA_900018345.1
FCNB01000038.5661.7156	1	0.012185	GCF_002899695.1
FCNT01000097.14.1527	2	0.023712	GCF_900021155.1
FG613726.1.1202	2	0.013702	GCF_022496765.1
FIZH01000015.305.1824	1	0.022257	GCF_900048895.1
FIZW01000001.347077.348580	2	0.018103	GCF_900059565.1
FJ032381.1.1266	1	0.111664	GCA_900315985.1
FJ032391.1.1254	1	0.106527	GCF_009680455.1
FJ032415.1.1280	1	0.276201	GCA_900751685.1
FJ032416.1.1225	1	0.112502	GCF_000188175.1
FJ032424.1.1268	3	0.070095	GCA_018128945.1
FJ032428.1.1246	1	0.084222	GCF_009695875.1
FJ032439.1.1244	1	0.139842	GCA_002841545.1
FJ032447.1.1238	1	0.044644	GCA_900103495.1
FJ032451.1.1268	1	0.10994	GCA_916988195.3
FJ032483.1.1208	1	0.040039	GCF_900119075.1
FJ032489.1.1260	4	0.053798	GCF_014337155.1
FJ032490.1.1227	3	0.082533	GCF_018408575.1
FJ032521.1.1227	1	0.081349	GCF_000526795.1
FJ032529.1.1245	4	0.050014	GCF_022024175.1
FJ032561.1.1233	1	0.163898	GCA_900751685.1
FJ032582.1.1233	1	0.135137	GCA_002841545.1
FJ032586.1.1226	1	0.114074	GCA_016284885.1
FJ032587.1.1219	1	0.163898	GCA_900751685.1
FJ032592.1.1245	1	0.056864	GCF_000242435.1
FJ032602.1.1219	1	0.036481	GCA_916988195.3
FJ032614.1.1222	1	0.052387	GCF_009676955.1
FJ032621.1.1216	1	0.112502	GCF_000188175.1
FJ032624.1.1238	5	0.075513	GCF_010906925.1
FJ154797.1.1435	1	0.018829	GCF_009738225.1
FJ185225.1.1409	1	0.009423	GCF_000411375.1
FJ225426.1.1443	1	0.019246	GCF_004309735.1
FJ269064.1.1485	1	0.082583	GCF_002127965.1
FJ362609.1.1340	1	0.122594	GCA_900045905.1
FJ362615.1.1346	3	0.042622	GCF_003461625.1
FJ362616.1.1358	1	0.068503	GCF_013304735.1
FJ362651.1.1341	1	0.057029	GCF_015557635.1
FJ362652.1.1340	5	0.106172	GCA_000020605.1
FJ362669.1.1326	1	0.037585	GCF_019967995.1
FJ362673.1.1332	3	0.125359	GCF_003461625.1
FJ362683.1.1350	1	0.037906	GCF_000382445.1
FJ362697.1.1372	1	0.136602	GCA_900315985.1
FJ362701.1.1206	1	0.04568	GCA_910583925.1
FJ362707.1.1336	1	0.045535	GCF_020687245.1
FJ362731.1.1336	5	0.108676	GCA_025148635.1
FJ362735.1.1312	1	0.031088	GCF_010509575.1
FJ362751.1.1348	1	0.044396	GCF_013300725.1
FJ362754.1.1360	1	0.072205	GCF_000173975.1
FJ362785.1.1342	1	0.10994	GCA_916988195.3
FJ362788.1.1367	1	0.074846	GCF_900048895.1
FJ362793.1.1323	1	0.114685	GCA_025150425.1
FJ362794.1.1265	1	0.055893	GCF_000173975.1
FJ362799.1.1337	1	0.091148	GCF_023347235.1
FJ362801.1.1349	1	0.109182	GCF_000382445.1
FJ362828.1.1356	3	0.091856	GCA_018228685.1
FJ362833.1.1379	1	0.112579	GCA_904419955.1
FJ362836.1.1386	1	0.072477	GCF_001406815.1
FJ362840.1.1340	1	0.089655	GCF_018784445.1
FJ362846.1.1332	1	0.107373	GCF_013304735.1
FJ362853.1.1355	3	0.121999	GCA_018128945.1
FJ362855.1.1338	1	0.290195	GCA_900045905.1
FJ362857.1.1221	1	0.125514	GCA_944391805.1
FJ362860.1.1342	1	0.388256	GCF_900112085.1
FJ362872.1.1361	1	0.107743	GCA_025149785.1
FJ362881.1.1349	1	0.163898	GCA_900751685.1
FJ362900.1.1335	1	0.107257	GCF_015557635.1
FJ362917.1.1345	1	0.044031	GCF_023347235.1
FJ362918.1.1361	5	0.106172	GCA_000020605.1
FJ362920.1.1206	1	0.054717	GCF_003287495.1
FJ362925.1.1356	3	0.035901	GCF_018326305.1
FJ362935.1.1246	4	0.107182	GCF_000723465.1
FJ362958.1.1338	1	0.05183	GCF_010509575.1
FJ362961.1.1366	1	0.110823	GCF_001275135.1
FJ362970.1.1366	1	0.110823	GCF_001275135.1
FJ362979.1.1359	1	0.20116	GCF_000765235.1
FJ362983.1.1338	6	0.052491	GCF_023347535.1
FJ362995.1.1366	1	0.110823	GCF_001275135.1
FJ362997.1.1348	3	0.057141	GCF_016902445.1
FJ363002.1.1364	5	0.106172	GCA_000020605.1
FJ363012.1.1338	1	0.106718	GCF_003437535.1
FJ363026.1.1365	3	0.11932	GCF_900128495.1
FJ363028.1.1361	2	0.113507	GCF_006542665.1
FJ363041.1.1369	6	0.089293	GCF_000297775.1
FJ363046.1.1382	1	0.10994	GCA_916988195.3
FJ363080.1.1346	1	0.043739	GCF_007164725.1
FJ363100.1.1348	1	0.019739	GCF_001275135.1
FJ363102.1.1337	6	0.075138	GCF_023347535.1
FJ363124.1.1367	1	0.111637	GCF_022809355.1
FJ363133.1.1363	1	0.10534	GCA_910574895.1
FJ363149.1.1338	6	0.055976	GCF_023347535.1
FJ363150.1.1338	1	0.030992	GCF_020687245.1
FJ363168.1.1392	2	0.108892	GCF_000455225.1
FJ363169.1.1353	1	0.018144	GCF_000187895.1
FJ363190.1.1367	1	0.111637	GCF_022809355.1
FJ363195.1.1396	1	0.108176	GCF_900116045.1
FJ363196.1.1356	3	0.111387	GCA_018228685.1
FJ363204.1.1363	1	0.110436	GCA_025147325.1
FJ363212.1.1359	3	0.109802	GCF_005121165.3
FJ363221.1.1356	1	0.064662	GCF_000765235.1
FJ363222.1.1343	6	0.041384	GCF_000013285.1
FJ363237.1.1362	5	0.106172	GCA_000020605.1
FJ363240.1.1359	1	0.118072	GCA_900112995.1
FJ363260.1.1341	1	0.052452	GCF_018784445.1
FJ363268.1.1354	4	0.111229	GCF_000296465.1
FJ363277.1.1367	5	0.022114	GCA_000020605.1
FJ363278.1.1376	6	0.083871	GCF_000297775.1
FJ363281.1.1347	5	0.106645	GCF_014334015.1
FJ363294.1.1364	3	0.108044	GCF_000154845.1
FJ363297.1.1386	1	0.109475	GCF_000205165.1
FJ363298.1.1368	6	0.059049	GCA_025150085.1
FJ363309.1.1338	1	0.054962	GCF_013304385.1
FJ363313.1.1358	1	0.127487	GCA_001312505.1
FJ363316.1.1368	1	0.053956	GCF_900079775.1
FJ363326.1.1354	1	0.071939	GCF_003481705.1
FJ363372.1.1220	1	0.038024	GCF_010509575.1
FJ363377.1.1349	14	0.039055	GCF_900106845.1
FJ363378.1.1375	3	0.108044	GCF_000154845.1
FJ363379.1.1387	1	0.110436	GCA_025147325.1
FJ363382.1.1367	1	0.109475	GCF_000205165.1
FJ363383.1.1358	1	0.13189	GCF_016586355.1
FJ363389.1.1368	1	0.251327	GCF_000159995.1
FJ363404.1.1332	1	0.058591	GCF_015670795.1
FJ363410.1.1350	2	0.050542	GCF_023347255.1
FJ363411.1.1346	1	0.108282	GCF_001406815.1
FJ363425.1.1357	1	0.203716	GCF_003024675.1
FJ363436.1.1364	3	0.108044	GCF_000154845.1
FJ363449.1.1364	1	0.026817	GCF_000187895.1
FJ363461.1.1338	1	0.04825	GCF_023347235.1
FJ363464.1.1357	3	0.108044	GCF_000154845.1
FJ363465.1.1349	1	0.027434	GCF_020748465.1
FJ363470.1.1333	1	0.062207	GCF_003438495.1
FJ363471.1.1336	1	0.062067	GCF_000173975.1
FJ363478.1.1352	1	0.132268	GCF_003287455.1
FJ363480.1.1338	2	0.037434	GCF_023347255.1
FJ363482.1.1378	1	0.107171	GCF_000188175.1
FJ363484.1.1336	6	0.074365	GCF_023347535.1
FJ363485.1.1338	1	0.046917	GCF_003287405.1
FJ363488.1.1201	1	0.039202	GCF_023347235.1
FJ363493.1.1351	1	0.033009	GCF_000173975.1
FJ363494.1.1361	1	0.133821	GCA_902362715.1
FJ363503.1.1363	1	0.270546	GCF_000159995.1
FJ363510.1.1365	7	0.106141	GCF_000012825.1
FJ363530.1.1354	1	0.205127	GCA_025148125.1
FJ363535.1.1382	1	0.046415	GCF_001406815.1
FJ363547.1.1379	1	0.108282	GCF_001406815.1
FJ363561.1.1364	1	0.106718	GCF_003437535.1
FJ363562.1.1364	7	0.106141	GCF_000012825.1
FJ363568.1.1214	5	0.050214	GCA_000020605.1
FJ363587.1.1338	2	0.083176	GCF_002834235.1
FJ363589.1.1357	3	0.112445	GCA_900199405.1
FJ363594.1.1361	1	0.107798	GCF_003479605.1
FJ363597.1.1338	4	0.107182	GCF_000723465.1
FJ363601.1.1338	1	0.010438	GCF_003287495.1
FJ363616.1.1341	1	0.102787	GCA_910583925.1
FJ363619.1.1341	2	0.118325	GCF_002834235.1
FJ363629.1.1358	1	0.109078	GCF_014287875.1
FJ363631.1.1393	1	0.109646	GCF_001404655.1
FJ363641.1.1357	1	0.120913	GCA_001312505.1
FJ363650.1.1354	1	0.11516	GCA_020859985.1
FJ363658.1.1358	1	0.108462	GCF_003460605.1
FJ363667.1.1359	1	0.036117	GCF_003460605.1
FJ363670.1.1265	1	0.019569	GCF_001404655.1
FJ363676.1.1377	1	0.082629	GCA_025148125.1
FJ363684.1.1353	1	0.134625	GCF_003024675.1
FJ363695.1.1351	1	0.144549	GCF_003024675.1
FJ363717.1.1338	1	0.048119	GCF_023347275.1
FJ363719.1.1335	1	0.108462	GCF_003460605.1
FJ363734.1.1333	1	0.150047	GCF_001643775.1
FJ363752.1.1334	1	0.150047	GCF_001643775.1
FJ363758.1.1358	1	0.071244	GCA_025148125.1
FJ363770.1.1481	1	0.036358	GCF_018784445.1
FJ363781.1.1359	2	0.112675	GCA_018223435.1
FJ363801.1.1396	1	0.019039	GCF_000160055.1
FJ363804.1.1356	2	0.112675	GCA_018223435.1
FJ363809.1.1336	1	0.109562	GCF_900209925.1
FJ363822.1.1357	1	0.109562	GCF_900209925.1
FJ363825.1.1342	1	0.163898	GCA_900751685.1
FJ363848.1.1345	1	0.0964	GCF_018784445.1
FJ363858.1.1370	1	0.057324	GCF_018784445.1
FJ363861.1.1338	6	0.087536	GCF_023347535.1
FJ363868.1.1357	1	0.091527	GCA_902363135.1
FJ363891.1.1336	1	0.109646	GCF_001404655.1
FJ363897.1.1319	1	0.056453	GCF_010509575.1
FJ363916.1.1362	1	0.108462	GCF_003460605.1
FJ363935.1.1358	1	0.112111	GCF_008121495.1
FJ363943.1.1316	3	0.04734	GCF_000020225.1
FJ363949.1.1368	1	0.108353	GCF_000173975.1
FJ363951.1.1358	1	0.107257	GCF_015557635.1
FJ363955.1.1380	5	0.106172	GCA_000020605.1
FJ363957.1.1359	1	0.095154	GCF_003024715.1
FJ363959.1.1378	1	0.107121	GCA_000285855.2
FJ363963.1.1360	1	0.173712	GCA_003460745.1
FJ363966.1.1362	5	0.106172	GCA_000020605.1
FJ363975.1.1362	1	0.04364	GCF_018784445.1
FJ363985.1.1332	1	0.057127	GCF_003438495.1
FJ363988.1.1357	1	0.107121	GCA_000285855.2
FJ363992.1.1360	1	0.133241	GCA_025148125.1
FJ363994.1.1358	6	0.092341	GCF_024168045.1
FJ363998.1.1378	1	0.107904	GCA_025148125.1
FJ364003.1.1375	1	0.176554	GCA_025150245.1
FJ364029.1.1377	1	0.029739	GCF_000173975.1
FJ364032.1.1360	1	0.162146	GCF_020736365.1
FJ364058.1.1394	1	0.0516	GCF_003122485.1
FJ364069.1.1321	1	0.108184	GCF_003473545.1
FJ364083.1.1359	1	0.09295	GCA_025148125.1
FJ364101.1.1357	1	0.05096	GCF_000173975.1
FJ364107.1.1382	1	0.107128	GCF_003269275.1
FJ364129.1.1347	1	0.11001	GCF_019734885.1
FJ364133.1.1358	6	0.109022	GCF_024168045.1
FJ364134.1.1354	1	0.108184	GCF_003473545.1
FJ364140.1.1359	1	0.133341	GCF_003481705.1
FJ364178.1.1359	1	0.121941	GCF_003460605.1
FJ364195.1.1387	6	0.110197	GCF_010669225.1
FJ364202.1.1346	1	0.11001	GCF_019734885.1
FJ364213.1.1357	1	0.080316	GCA_025147765.1
FJ364217.1.1354	1	0.127551	GCF_002161065.1
FJ364241.1.1397	1	0.046711	GCF_010120595.1
FJ364260.1.1358	1	0.107904	GCA_025148125.1
FJ364295.1.1394	1	0.107337	GCF_001074805.1
FJ364337.1.1338	6	0.050681	GCF_023347535.1
FJ364350.1.1342	1	0.021309	GCF_000468015.1
FJ364354.1.1319	1	0.042462	GCF_023347235.1
FJ364366.1.1355	5	0.106172	GCA_000020605.1
FJ364378.1.1235	1	0.096561	GCF_020687245.1
FJ364383.1.1350	1	0.106642	GCA_025148445.1
FJ364417.1.1345	1	0.259524	GCF_020687245.1
FJ364418.1.1204	1	0.115704	GCF_900103815.1
FJ364428.1.1366	1	0.018368	GCF_010509575.1
FJ364432.1.1356	1	0.051647	GCF_000765235.1
FJ364437.1.1339	4	0.107182	GCF_000723465.1
FJ364447.1.1348	1	0.108353	GCF_000173975.1
FJ364454.1.1206	1	0.024581	GCF_009695995.1
FJ364472.1.1352	1	0.279207	GCA_014385095.1
FJ364480.1.1341	1	0.030873	GCF_023347275.1
FJ364500.1.1354	1	0.163898	GCA_900751685.1
FJ364501.1.1408	1	0.090492	GCF_000242435.1
FJ364552.1.1368	6	0.106511	GCF_009494135.1
FJ364566.1.1365	1	0.310828	GCA_900104565.1
FJ364590.1.1357	1	0.016625	GCF_020687245.1
FJ364596.1.1388	6	0.106801	GCA_025151535.1
FJ364604.1.1339	1	0.031155	GCF_003287495.1
FJ364613.1.1337	6	0.070636	GCF_023347535.1
FJ364617.1.1248	1	0.112111	GCF_008121495.1
FJ364641.1.1352	5	0.025216	GCA_000020605.1
FJ364653.1.1358	1	0.112111	GCF_008121495.1
FJ364683.1.1336	5	0.106172	GCA_000020605.1
FJ364692.1.1331	1	0.057947	GCF_001517625.2
FJ364700.1.1381	1	0.01913	GCF_016901815.1
FJ364749.1.1310	1	0.019142	GCF_001517625.2
FJ364766.1.1361	1	0.026437	GCA_000285855.2
FJ364769.1.1333	1	0.107904	GCA_025148125.1
FJ364770.1.1339	1	0.135719	GCF_009696065.1
FJ364810.1.1203	1	0.025688	GCF_001404655.1
FJ364815.1.1350	7	0.106141	GCF_000012825.1
FJ364835.1.1389	2	0.108892	GCF_000455225.1
FJ364857.1.1361	1	0.072026	GCA_900112995.1
FJ364859.1.1362	6	0.082273	GCF_024168045.1
FJ364871.1.1208	1	0.135719	GCF_009696065.1
FJ364899.1.1354	1	0.048559	GCA_025148125.1
FJ364902.1.1337	1	0.03609	GCF_003478505.1
FJ364916.1.1366	1	0.083591	GCF_013304445.1
FJ364934.1.1401	1	0.030051	GCF_000425045.1
FJ364939.1.1376	2	0.099133	GCA_025145845.1
FJ364944.1.1372	5	0.110714	GCF_003991565.1
FJ364950.1.1345	1	0.149608	GCA_021029595.1
FJ364952.1.1338	1	0.106921	GCF_023347295.1
FJ364970.1.1373	1	0.127551	GCF_002161065.1
FJ364987.1.1366	1	0.108878	GCF_003634345.1
FJ364989.1.1370	3	0.121999	GCA_018128945.1
FJ364991.1.1369	2	0.031484	GCF_000154465.1
FJ364998.1.1334	1	0.108542	GCF_001487165.1
FJ365009.1.1395	1	0.127681	GCA_934119955.1
FJ365014.1.1343	1	0.10994	GCA_916988195.3
FJ365016.1.1319	1	0.040392	GCA_025150425.1
FJ365025.1.1359	6	0.05469	GCF_023347535.1
FJ365030.1.1345	1	0.11516	GCA_020859985.1
FJ365031.1.1342	1	0.147749	GCF_002160895.1
FJ365054.1.1355	1	0.118353	GCF_014287875.1
FJ365071.1.1328	1	0.160016	GCA_900538765.1
FJ365082.1.1375	1	0.456017	GCA_010206265.1
FJ365103.1.1364	7	0.106141	GCF_000012825.1
FJ365124.1.1363	1	0.107721	GCF_018918025.1
FJ365127.1.1349	3	0.121999	GCA_018128945.1
FJ365142.1.1338	6	0.067117	GCF_023347535.1
FJ365147.1.1380	1	0.225161	GCF_014384765.1
FJ365183.1.1339	1	0.062588	GCF_010509575.1
FJ365188.1.1330	2	0.064878	GCF_006542665.1
FJ365189.1.1355	1	0.033458	GCA_025150425.1
FJ365192.1.1381	1	0.149445	GCF_900078395.1
FJ365213.1.1354	1	0.107721	GCF_018918025.1
FJ365214.1.1357	1	0.10994	GCA_916988195.3
FJ365228.1.1356	1	0.050591	GCF_003481705.1
FJ365235.1.1357	1	0.11516	GCA_020859985.1
FJ365237.1.1361	1	0.10994	GCA_916988195.3
FJ365242.1.1377	1	0.107257	GCF_015557635.1
FJ365243.1.1337	6	0.06101	GCF_023347535.1
FJ365244.1.1372	3	0.112445	GCA_900199405.1
FJ365246.1.1360	2	0.06149	GCA_025145845.1
FJ365248.1.1328	1	0.169872	GCA_910588545.1
FJ365251.1.1334	1	0.074902	GCF_003435375.1
FJ365255.1.1357	3	0.112445	GCA_900199405.1
FJ365257.1.1380	1	0.044827	GCF_000146185.1
FJ365262.1.1373	1	0.163898	GCA_900751685.1
FJ365270.1.1338	1	0.328115	GCA_015068345.1
FJ365274.1.1376	1	0.055176	GCF_000420465.1
FJ365277.1.1341	1	0.163898	GCA_900751685.1
FJ365281.1.1358	1	0.107798	GCF_003479605.1
FJ365300.1.1383	1	0.044358	GCF_000160055.1
FJ365305.1.1340	2	0.082309	GCF_000154465.1
